School ID,Name of School,Street Address,City,State,ZIP Code,Phone Number,Network,NWEA: % Above Nat'l Avg Score - All Grades - Reading,NWEA: % Above Nat'l Avg Score - All Grades - Math,NWEA: % Above Nat'l Avg Growth - All Grades - Reading,NWEA: % Above Nat'l Avg Growth - All Grades - Math,ISAT: % Meets/Exceeds - 3rd Grade - Reading,ISAT: % Meets/Exceeds - 5th Grade - Reading/Math Composite,Bilingual %,SpED %,"Free/Reduced
 Lunch %",White %,African American %,Hispanic %,CPS Performance Policy Level,CPS Performance Policy Status,"My Voice, My School Overall Rating",Involved Family,Effective Leaders,Safe,Quality of Facilities,NWEA Reading Growth Percentile All Grades,NWEA Math Growth Percentile All Grades,NWEA Reading Attainment Percentile All Grades,NWEA Math Attainment Percentile All Grades,Suspensions Per 100 students 2013,Percentage Misconducts Resulting in Suspension 2013,Average Length of Suspensions 2013,Student Attendance Percentage 2013,One-Year Drop Out Rate Percentage 2013,Community School
400027,Chicago Intl Charter - Irving Park,3820 N Spaulding Ave,Chicago,IL,60618,(773) 433-5000,Charter,77%,75%,63%,61%,75%,68%,10.70%,9.00%,63.50%,13%,7%,62%,LEVEL 1,NOT APPLICABLE,PARTIALLY ORGANIZED,STRONG,WEAK,STRONG,NOT ENOUGH DATA,97,84,97,94,,,,96.70%,,No
400028,Chicago Intl Charter - Prairie,11530 S Prairie Ave,Chicago,IL,60628,(773) 928-0480,Charter,50%,36%,63%,61%,45%,33%,23.20%,12.30%,97.80%,0%,49%,51%,LEVEL 3,NOT APPLICABLE,NOT YET ORGANIZED,WEAK,WEAK,NEUTRAL,VERY WEAK,77,27,58,33,,,,95.30%,,No
400029,Chicago Intl Charter - Washington Park,6105 S Michigan Ave,Chicago,IL,60637,(773) 324-3300,Charter,51%,46%,72%,82%,68%,34%,0.00%,7.70%,96.40%,0%,91%,1%,LEVEL 2,NOT APPLICABLE,NOT YET ORGANIZED,WEAK,WEAK,VERY WEAK,VERY WEAK,98,99,52,48,,,,96.40%,,No
400030,Chicago Intl Charter - West Belden,2245 N McVicker Ave,Chicago,IL,60639,(773) 637-9430,Charter,65%,62%,63%,67%,47%,48%,32.60%,16.40%,95.20%,1%,8%,91%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,WEAK,91,76,86,80,,,,96.70%,,No
400031,Chicago Intl Charter - Wrightwood,8130 S California Ave,Chicago,IL,60652,(773) 434-4575,Charter,60%,55%,62%,61%,63%,48%,0.10%,9.40%,86.90%,1%,93%,2%,LEVEL 2,NOT APPLICABLE,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,72,56,73,65,,,,96.30%,,No
400039,Erie Elementary Charter School,1405 N Washtenaw Ave,Chicago,IL,60622,(773) 486-7161,Charter,44%,27%,61%,43%,44%,45%,28.70%,15.10%,89.40%,2%,17%,78%,LEVEL 1,NOT APPLICABLE,WELL-ORGANIZED,STRONG,STRONG,NEUTRAL,NEUTRAL,22,0,34,11,,,,95.60%,,No
400040,Frazier Preparatory Academy Elementary School,4027 W Grenshaw St,Chicago,IL,60624,(773) 534-6776,Charter,36%,29%,47%,47%,48%,30%,0.00%,4.60%,90.60%,0%,90%,1%,LEVEL 3,ON PROBATION,ORGANIZED,STRONG,NEUTRAL,WEAK,WEAK,1,0,13,11,0.2,,,95.60%,,No
400041,Galapagos Elementary Charter School,3814 W Iowa St,Chicago,IL,60651,(773) 384-9400,Charter,-,-,-,-,31%,36%,0.60%,6.90%,96.00%,0%,86%,5%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,96.10%,,No
400043,Hope Institute Learning Academy,1628 W Washington,Chicago,IL,60612,(773) 534-7405,Contract,27%,17%,-,57%,30%,25%,4.30%,21.40%,83.40%,2%,86%,9%,LEVEL 2,NOT ON PROBATION,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,VERY STRONG,,5,2,3,19.2,45.40%,1.1,93.80%,,No
400044,KIPP Ascend Academy Charter Elementary School,1616 S Avers Ave,Chicago,IL,60623,(773) 521-4399,Charter,-,-,-,-,-,41%,1.30%,10.20%,95.20%,0%,93%,5%,LEVEL 3,NOT APPLICABLE,ORGANIZED,NEUTRAL,STRONG,WEAK,NEUTRAL,,,,,,,,94.50%,,No
400045,Kwame Nkrumah Academy Elementary School,8524 S Greene St,Chicago,IL,60620,(773) 966-1600,Charter,53%,46%,64%,63%,74%,53%,0.00%,9.70%,82.00%,0%,99%,1%,LEVEL 2,NOT APPLICABLE,MODERATELY ORGANIZED,STRONG,WEAK,NOT ENOUGH DATA,NEUTRAL,90,41,78,50,6.3,60%,2.9,96.10%,,No
400046,LEARN Charter ES - Romano Butler Campus,1132 S Homan Ave,Chicago,IL,60624,(773) 826-6330,Charter,-,-,-,-,41%,63%,0.00%,5.70%,93.70%,0%,95%,1%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NOT ENOUGH DATA,,,,,,,,95.40%,,No
400047,LEARN Charter ES - Charles and Dorothy Campbell,212 S Francisco Ave,Chicago,IL,60612,(773) 826-0370,Charter,-,-,-,-,41%,34%,0.00%,9.30%,98.20%,0%,99%,1%,LEVEL 3,NOT APPLICABLE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,STRONG,NOT ENOUGH DATA,,,,,,,,94.80%,,No
400048,LEARN Charter ES - Excel,2401 W Congress Pkwy,Chicago,IL,60612,(312) 243-7001,Charter,-,-,-,-,52%,34%,0.00%,9.20%,91.50%,0%,92%,2%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,,,,,,,,94.70%,,No
400049,Legacy Charter Elementary School,4217 W 18th St,Chicago,IL,60623,(773) 542-1640,Charter,41%,38%,54%,62%,47%,36%,0.40%,11.70%,94.00%,0%,91%,3%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,WEAK,NOT ENOUGH DATA,15,27,33,33,21.8,88.50%,1.3,95.50%,,No
400050,Namaste Charter Elementary School,3737 S Paulina St,Chicago,IL,60609,(773) 715-9558,Charter,-,-,-,-,62%,66%,23.00%,16.80%,84.50%,9%,4%,85%,LEVEL 2,NOT APPLICABLE,WELL-ORGANIZED,STRONG,STRONG,STRONG,NOT ENOUGH DATA,,,,,8.8,80.40%,1.9,96.90%,,No
400060,Asian Human Services - Passages Charter School,1643 W Bryn Mawr Ave,Chicago,IL,60660,(773) 433-3530,Charter,67%,57%,80%,80%,66%,37%,28.20%,8.40%,87.00%,6%,49%,21%,LEVEL 1,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,99,99,86,79,,,,94.10%,,No
400068,Plato Learning Academy Elementary School,5545 W Harrison St,Chicago,IL,60644,(773) 413-3090 x 111,Contract,42%,23%,60%,56%,41%,37%,0.00%,10.30%,98.30%,0%,100%,0%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,VERY WEAK,WEAK,NEUTRAL,NEUTRAL,29,11,27,9,36.4,90.90%,2.6,93.30%,,No
400069,Polaris Charter Academy Elementary School,620 N Sawyer Ave,Chicago,IL,60624,(773) 534-0820,Charter,33%,34%,64%,60%,48%,40%,0.00%,12.00%,90.50%,0%,90%,8%,LEVEL 2,NOT APPLICABLE,WELL-ORGANIZED,NEUTRAL,STRONG,STRONG,VERY STRONG,38,18,23,28,,,,94.90%,,No
400071,Providence Englewood Charter - Bunche,6515 S Ashland Ave,Chicago,IL,60636,(773) 434-0202,Charter,-,-,-,-,58%,49%,0.40%,8.50%,86.80%,0%,90%,2%,LEVEL 1,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,,,,,,,,98%,,No
400072,Betty Shabazz Intl Charter,7823 S Ellis Ave,Chicago,IL,60619,(773) 651-1221,Charter,41%,36%,57%,58%,37%,38%,0.30%,9.00%,88.60%,0%,81%,0%,LEVEL 2,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,53,9,31,28,,,,94.90%,,No
400074,Betty Shabazz Intl Charter - Barbara A Sizemore,6936 S Hermitage Ave,Chicago,IL,60636,(773) 535-9144,Charter,23%,12%,42%,44%,24%,19%,0.30%,9.10%,94.80%,0%,92%,1%,LEVEL 3,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0,0,2,2,,,,94.90%,,No
400075,University of Chicago Charter - Donoghue,707 E 37th St,Chicago,IL,60653,(773) 285-5301,Charter,48%,44%,61%,65%,64%,49%,0.20%,6.40%,68.20%,0%,96%,1%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,73,43,53,37,,,,95.40%,,No
400076,University of Chicago Charter - NKO,1119 E 46th St,Chicago,IL,60653,(773) 536-2399,Charter,67%,60%,70%,68%,63%,69%,0.30%,5.90%,77.90%,2%,94%,2%,LEVEL 1,NOT APPLICABLE,ORGANIZED,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NEUTRAL,97,75,90,79,,,,96.80%,,No
400078,University of Chicago Charter - Carter G Woodson,4444 S Evans Ave,Chicago,IL,60653,(773) 624-0700,Charter,42%,30%,44%,50%,-,-,0.00%,10.20%,82.80%,0%,95%,0%,LEVEL 2,NOT APPLICABLE,NOT YET ORGANIZED,WEAK,WEAK,WEAK,NOT ENOUGH DATA,1,2,27,21,,,,94.40%,,No
400079,UNO Charter School - SPC Daniel Zizumbo Campus,4248 W 47th St,Chicago,IL,60632,(773) 579-3470 x 222,Charter,-,-,-,-,55%,52%,19.70%,6.90%,92.50%,1%,0%,91%,LEVEL 1,NOT APPLICABLE,ORGANIZED,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,97.20%,,No
400080,UNO Charter School - PFC Omar E.Torres Campus,4248 W 47th St,Chicago,IL,60632,(773) 579-3475,Charter,-,-,-,-,56%,54%,28.10%,8.00%,92.80%,1%,1%,94%,LEVEL 1,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,VERY WEAK,STRONG,NOT ENOUGH DATA,,,,,,,,97%,,No
400081,UNO Charter - Bartolome de Las Casas,1641 W 16th St,Chicago,IL,60608,(312) 432-3224,Charter,-,-,-,-,43%,63%,35.70%,8.40%,95.80%,0%,1%,98%,LEVEL 2,NOT APPLICABLE,WELL-ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,,,,,,,,97.50%,,No
400082,UNO Charter - Carlos Fuentes,2845 W Barry Ave,Chicago,IL,60618,(773) 279-9826,Charter,-,-,-,-,63%,48%,26.70%,7.30%,94.10%,1%,0%,97%,LEVEL 1,NOT APPLICABLE,PARTIALLY ORGANIZED,STRONG,WEAK,STRONG,NOT ENOUGH DATA,,,,,,,,97%,,No
400083,UNO Charter - Octavio Paz Campus,2651 W 23rd St,Chicago,IL,60608,(773) 890-1054,Charter,-,-,-,-,28%,36%,33.10%,8.40%,98.60%,1%,8%,86%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,VERY WEAK,NEUTRAL,NOT ENOUGH DATA,,,,,,,,97.30%,,No
400084,UNO Charter - Rufino Tamayo,5135 S California Ave,Chicago,IL,60632,(773) 434-6355,Charter,-,-,-,-,41%,30%,37.80%,9.40%,96.50%,1%,0%,99%,LEVEL 3,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,,,,,,,,97.30%,,No
400089,UNO Charter School - Officer Donald J. Marquez,2916 W 47th St,Chicago,IL,60632,(773) 321-2200,Charter,-,-,-,-,31%,59%,35.70%,6.60%,97.40%,0%,1%,94%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,STRONG,NOT ENOUGH DATA,,,,,,,,96.80%,,No
400092,Chicago Intl Charter - Lloyd Bond,13300 S Langley Ave,Chicago,IL,60827,(773) 468-1300,Charter,40%,39%,58%,60%,31%,43%,0.30%,12.40%,99.10%,0%,98%,1%,LEVEL 3,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,WEAK,WEAK,42,42,37,34,,,,92.90%,,No
400096,Rowe Elementary School,1424 N Cleaver St,Chicago,IL,60642,(312) 445-5870,Charter,-,-,-,-,55%,31%,18.20%,9.40%,87.60%,3%,13%,78%,LEVEL 2,NOT APPLICABLE,ORGANIZED,STRONG,NEUTRAL,NOT ENOUGH DATA,VERY STRONG,,,89,82,,,,96.10%,,No
400101,UNO Charter - Sandra Cisneros,2744 W Pershing Rd,Chicago,IL,60632,(312) 376-8830 ,Charter,-,-,-,-,47%,38%,35.90%,5.90%,97.70%,0%,1%,94%,LEVEL 2,NOT APPLICABLE,MODERATELY ORGANIZED,NEUTRAL,WEAK,STRONG,NOT ENOUGH DATA,,,,,,,,97.40%,,No
400107,LEARN  Charter School-South Chicago Campus,8914 S Buffalo Ave,Chicago,IL,60617,(773) 722-8577,Charter,-,-,-,-,47%,29%,7.00%,10.20%,95.80%,0%,78%,8%,LEVEL 3,NOT APPLICABLE,NOT YET ORGANIZED,WEAK,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,93.60%,,No
400111,LEARN Charter School - Hunter Perkins,1700 W 83rd St,Chicago,IL,60620,(773) 722-0200,Charter,-,-,-,-,50%,-,0.00%,8.80%,94.20%,0%,77%,1%,NOT ENOUGH DATA,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,96.50%,,No
400112,UNO 51st and Homan Charter Elementary School,5050 S Homan Ave,Chicago,IL,60632,(312) 455-5450 ,Charter,-,-,-,-,44%,45%,31.60%,6.60%,97.60%,1%,0%,97%,NOT ENOUGH DATA,NOT APPLICABLE,WELL-ORGANIZED,STRONG,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,,,,,,,,97.70%,,No
400114,UNO Charter Elementary School St Marks,2510 W Cortez St,Chicago,IL,60622,(312) 455-5410 ,Charter,-,-,-,-,34%,56%,38.80%,12.60%,95.70%,1%,4%,94%,NOT ENOUGH DATA,NOT APPLICABLE,WELL-ORGANIZED,VERY STRONG,STRONG,STRONG,NOT ENOUGH DATA,,,,,,,,96.50%,,No
400115,Catalyst-Maria Charter School,6727 S California Ave,Chicago,IL,60629,(773) 993-1770 ,Charter,35%,33%,59%,72%,43%,38%,11.40%,13.50%,94.20%,1%,46%,45%,NOT ENOUGH DATA,NOT APPLICABLE,PARTIALLY ORGANIZED,WEAK,WEAK,WEAK,STRONG,24,68,22,26,,,,96.20%,1.20%,No
400116,The Montessori School of Englewood Charter,6550 S Seeley Ave,Chicago,IL,60636,(773) 306-1759,Charter,-,15%,-,-,-,-,0.00%,12.20%,80.50%,0%,83%,4%,NOT ENOUGH DATA,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,,,,3,,,,91.40%,,No
400120,UNO Charter - Near West Elementary,2050 N Natchez Ave,Chicago,IL,60707,(312) 455-5425 ,Charter,-,-,-,-,24%,30%,28.10%,7.60%,96.00%,1%,5%,91%,NOT ENOUGH DATA,NOT APPLICABLE,ORGANIZED,STRONG,NEUTRAL,STRONG,NOT ENOUGH DATA,,,,,,,,97.20%,,No
400121,UNO Charter - Rogers Park ES,7416 N Ridge Blvd,Chicago,IL,60645,(312) 455-5440 ,Charter,-,-,-,-,42%,48%,32.20%,10.70%,97.00%,1%,10%,85%,NOT ENOUGH DATA,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,VERY WEAK,STRONG,NOT ENOUGH DATA,,,,,,,,96.70%,,No
400146,KIPP Charter Create,4837 W Erie St,Chicago,IL,60644,(773) 938-8553 ,Charter,-,-,-,-,-,34%,0.60%,10.20%,95.80%,0%,96%,4%,NOT ENOUGH DATA,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,VERY STRONG,,,,,,,,95.60%,,No
400151,Learn Charter 7 ES,3021 W Caroll Ave,Chicago,IL,60612,,Charter,-,-,-,-,-,-,0.50%,4.50%,86.60%,0%,85%,3%,NOT ENOUGH DATA,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,,,,No
400153,UNO Charter 15 ES,4420 S Fairfield Ave,Chicago,IL,60632,,Charter,-,-,-,-,-,-,36.30%,9.70%,93.70%,0%,1%,98%,NOT ENOUGH DATA,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,,,,No
400161,Chicago Charter Collegiate HS,11816 S Indiana Ave,Chicago,IL,60628,,Charter,-,-,-,-,-,-,1.70%,13.90%,92.20%,0%,97%,3%,NOT ENOUGH DATA,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,,,,No
400163,KIPP Charter Bloom,5515 S Lowe Ave,Chicago,IL,60621,,Charter,-,-,-,-,-,-,0.00%,11.90%,88.10%,0%,96%,0%,NOT ENOUGH DATA,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,,,,No
400165,LEARN Charter - Middle School Campus,3021 W Caroll Ave,Chicago,IL,60612,,Charter,-,-,-,-,-,-,0.00%,15.50%,100.00%,0%,96%,2%,NOT ENOUGH DATA,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,,,,No
609772,Jane Addams Elementary School,10810 S Avenue H,Chicago,IL,60617,(773) 535-6210,Network 13,47%,60%,64%,81%,50%,55%,25.90%,7.20%,91.80%,2%,1%,96%,LEVEL 1,NOT ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,80,99,52,77,1.1,33.30%,2.5,95.20%,,No
609773,Louis A Agassiz Elementary School,2851 N Seminary Ave,Chicago,IL,60657,(773) 534-5725,Network 4,58%,56%,53%,73%,75%,66%,8.90%,21.10%,44.80%,35%,25%,33%,LEVEL 1,NOT ON PROBATION,ORGANIZED,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,23,89,74,64,7.1,39.50%,2.7,94.70%,,No
609774,Louisa May Alcott Elementary School,2625 N Orchard St,Chicago,IL,60614,(773) 534-5460,Network 4,77%,78%,64%,83%,71%,88%,3.90%,9.20%,17.50%,64%,9%,15%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,96,99,97,97,0.4,2.10%,1,95.60%,,No
609777,Phillip D Armour Elementary School,950 W 33rd Pl,Chicago,IL,60608,(773) 535-4530,Network 6,37%,29%,67%,72%,23%,30%,27.80%,11.70%,94.80%,9%,3%,85%,LEVEL 3,ON PROBATION,ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,56,78,24,20,6.4,56.10%,2.1,92.60%,,No
609779,George Armstrong International Studies ES,2110 W Greenleaf Ave,Chicago,IL,60645,(773) 534-2150,Network 2,53%,53%,63%,83%,43%,56%,27.60%,11.80%,93.10%,8%,29%,43%,LEVEL 1,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,NEUTRAL,STRONG,70,99,53,66,7.7,80.60%,2.4,95.20%,,No
609780,Ames Middle School,1920 N Hamlin Ave,Chicago,IL,60647,(773) 534-4970,Network 4,27%,29%,63%,75%,-,-,21.40%,10.70%,98.30%,0%,5%,94%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,46,95,7,12,19.7,11.40%,2.2,91.40%,,No
609781,Crispus Attucks Elementary School,5055 S State St,Chicago,IL,60615,(773) 535-1270,Network 9,12%,6%,50%,45%,38%,22%,0.00%,13.10%,100.00%,0%,99%,1%,LEVEL 3,ON PROBATION,ORGANIZED,STRONG,STRONG,WEAK,NEUTRAL,0,0,0,0,96.5,66.80%,2.8,90.60%,,No
609782,John J Audubon Elementary School,3500 N Hoyne Ave,Chicago,IL,60618,(773) 534-5470,Network 4,64%,71%,58%,63%,68%,71%,5.10%,7.40%,31.00%,58%,3%,29%,LEVEL 1,NOT ON PROBATION,ORGANIZED,STRONG,WEAK,STRONG,NOT ENOUGH DATA,62,68,83,92,5.8,73.90%,2,94.80%,,No
609786,Avalon Park Elementary School,8045 S Kenwood Ave,Chicago,IL,60619,(773) 535-6615,Network 12,18%,13%,51%,65%,29%,33%,0.00%,7.10%,98.40%,0%,98%,1%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,WEAK,WEAK,WEAK,1,40,2,1,37.1,48.50%,2.8,89.90%,,No
609788,Alice L Barnard Computer Math & Science Ctr ES,10354 S Charles St,Chicago,IL,60643,(773) 535-2625,OS4,48%,34%,69%,69%,38%,34%,0.00%,11.00%,79.40%,0%,96%,2%,LEVEL 2,NOT ON PROBATION,NOT YET ORGANIZED,NEUTRAL,NEUTRAL,STRONG,WEAK,89,66,48,31,9,19%,1.3,95%,,No
609789,John Barry Elementary School,2828 N Kilbourn Ave,Chicago,IL,60641,(773) 534-3455,Network 4,30%,48%,49%,73%,38%,46%,43.00%,9.10%,96.50%,2%,1%,95%,LEVEL 2,NOT ON PROBATION,WELL-ORGANIZED,STRONG,STRONG,STRONG,NEUTRAL,0,94,12,53,3,55.60%,1.3,95.20%,,No
609790,Clara Barton Elementary School,7650 S Wolcott Ave,Chicago,IL,60620,(773) 535-3260,Network 11,20%,14%,52%,46%,27%,22%,0.00%,12.40%,80.50%,0%,99%,1%,LEVEL 3,ON PROBATION,MODERATELY ORGANIZED,NEUTRAL,STRONG,WEAK,STRONG,0,0,2,1,92.9,91.90%,1.6,90.90%,,No
609791,Perkins Bass Elementary School,1140 W 66th St,Chicago,IL,60621,(773) 535-3275,Network 11,23%,24%,67%,67%,31%,36%,0.40%,10.60%,98.10%,0%,98%,2%,LEVEL 3,ON PROBATION,NOT YET ORGANIZED,WEAK,WEAK,VERY WEAK,NOT ENOUGH DATA,60,55,4,4,47.5,74.80%,3,91.20%,,No
